text,spam
Please note that your two-step verification code is 742015. Never share this code with anyone. The relevant details are available in your account.,0
"Hi, your support request has been received and is now in our queue. No further action is required if you recognize this activity.",0
A new device signed in to your Microsoft account. You can review the recent activity from your account security page.,0
Your streaming subscription could not be renewed. Update your payment details now to prevent cancellation. Please complete the request by Monday.,1
"Hello, your Dropbox account recorded a new sign-in from a device you recently used. The relevant details are available in your account.",0
"Security notification: You have won ₹50,000 in our promotional draw. Send the requested information to release your prize. The request will expire soon.",1
Please note that your two-step verification code is 517926. Never share this code with anyone. No further action is required if you recognize this activity.,0
Your mobile number has won a promotional prize. Reply with your personal details to claim it.,1
"Hi, your Microsoft password was changed successfully. You can review the updated information at your convenience.",0
Your university portal has recorded your assignment submission. The receipt is available in your student dashboard.,0
"A remote job paying ₹10,000 per month is available for you. No experience is required. Register to begin. Please complete the request by the end of this week.",1
"For your records, your application was submitted successfully. You can check its status from the student or customer portal. Please contact the organization through its usual official channel if you have questions.",0
"A refund of ₹5,000 is waiting for you. Confirm your card information so the payment can be released. Please complete the request by the end of this week.",1
Your delivery address could not be verified. Pay a small redelivery fee to receive your package.,1
"Congratulations, you have been selected to receive ₹25,000. Claim the reward by confirming your details. Your access may be limited if this is not completed.",1
Security notification: A remote job paying ₹10 lakh per month is available for you. No experience is required. Register to begin. Complete the process to avoid interruption.,1
"Hi, your support request has been received and is now in our queue. The relevant details are available in your account.",0
"For your records, your card payment of ₹1,00,000 at Coffee Corner was processed successfully. The relevant details are available in your account.",0
"Your Apple ID was used to sign in on a new device. If you recognize the activity, no action is required.",0
Congratulations! You have won a cash reward. Provide your banking information to receive the money.,1
Your tax refund is ready. Submit your bank details to receive the approved payment.,1
You have won ₹10 lakh in our promotional draw. Send the requested information to release your prize. Complete the process to avoid interruption.,1
Your Microsoft account has been locked after a suspicious login. Confirm your identity to restore access.,1
"Urgent notice: Earn guaranteed returns with our private investment program. Deposit ₹10,000 today to activate your account. Your access may be limited if this is not completed.",1
We detected malware on your computer. Call our support team immediately to prevent your files from being damaged.,1
Please note that your assignment submission was received successfully. You can review the updated information at your convenience.,0
Just a quick update: scheduled maintenance will take place tonight. Some features may be unavailable during the maintenance window. The relevant details are available in your account.,0
"A remote job paying ₹50,000 per month is available for you. No experience is required. Register to begin. Failure to act may result in suspension.",1
This is a notification that your order from Book House has shipped and is expected to arrive tomorrow. You can review the details from your account dashboard.,0
Just a quick update: scheduled maintenance will take place tonight. Some features may be unavailable during the maintenance window. You can review the updated information at your convenience.,0
Please note that your assignment submission was received successfully. No further action is required if you recognize this activity.,0
Your PayPal account has been limited. Confirm your payment information to remove the restriction.,1
A refund of $500 is waiting for you. Confirm your card information so the payment can be released. Please complete the request by the end of this week.,1
"Hi, your Adobe password was changed successfully. You can review the updated information at your convenience.",0
Earn guaranteed returns with our private investment program. Deposit $100 today to activate your account. Do not delay this verification.,1
Just a quick update: your bank statement for this month is now available. The relevant details are available in your account.,0
"A refund of ₹5,000 is waiting for you. Confirm your card information so the payment can be released. Failure to act may result in suspension.",1
Your device has been detected with a critical security threat. Contact technical support immediately for assistance. Please complete the request by 15 September.,1
"You have won ₹50,000 in our promotional draw. Send the requested information to release your prize. Complete the process to avoid interruption.",1
"Hello, your Dropbox account recorded a new sign-in from a device you recently used. You can review the updated information at your convenience.",0
"Urgent notice: Congratulations, you have been selected to receive ₹1,00,000. Claim the reward by confirming your details. Failure to act may result in suspension.",1
This is a notification that your order from Book House has shipped and is expected to arrive Monday. No further action is required if you recognize this activity.,0
"Hello, your Google account recorded a new sign-in from a device you recently used. You can review the details from your account dashboard.",0
"Hello, the project meeting has been moved to 4 PM tomorrow. You can review the updated information at your convenience.",0
"For your records, your card payment of ₹5,000 at Coffee Corner was processed successfully. You can review the updated information at your convenience.",0
We noticed a new sign-in to your Google Account. Verify your account immediately because this activity was not recognized.,1
Your bank sent a notification for a card payment you made today. Contact the bank through the number on your card if you do not recognize it.,0
Your bank account has been placed under review. Confirm your identity immediately to restore online access. Please complete the request by 11:59 PM.,1
"We noticed a new sign-in to your Google Account. If this was you, you do not need to do anything.",0
"Urgent notice: A refund of ₹5,000 is waiting for you. Confirm your card information so the payment can be released. Complete the process to avoid interruption.",1
"Hi, your support request has been received and is now in our queue. Please contact the organization through its usual official channel if you have questions.",0
"A refund of ₹25,000 is waiting for you. Confirm your card information so the payment can be released. Please complete the request by the end of this week.",1
"Security notification: You have won $2,000 in our promotional draw. Send the requested information to release your prize. The request will expire soon.",1
"Hello, your Dropbox account recorded a new sign-in from a device you recently used. Please contact the organization through its usual official channel if you have questions.",0
"Congratulations, you have been selected to receive ₹1,00,000. Claim the reward by confirming your details. Your access may be limited if this is not completed.",1
"Urgent notice: Congratulations, you have been selected to receive ₹25,000. Claim the reward by confirming your details. Failure to act may result in suspension.",1
"Congratulations, you have been selected to receive ₹5,000. Claim the reward by confirming your details. Please complete the request by 11:59 PM.",1
"Hello, your Google account recorded a new sign-in from a device you recently used. The relevant details are available in your account.",0
This is a notification that your refund has been processed and will appear according to your bank's normal processing time. The relevant details are available in your account.,0
"Security notification: A remote job paying ₹50,000 per month is available for you. No experience is required. Register to begin. Complete the process to avoid interruption.",1
"Urgent notice: A refund of ₹25,000 is waiting for you. Confirm your card information so the payment can be released. Complete the process to avoid interruption.",1
Just a quick update: your bank statement for this month is now available. Please contact the organization through its usual official channel if you have questions.,0
Your device has been detected with a critical security threat. Contact technical support immediately for assistance. Do not delay this verification.,1
"Hi, your Adobe password was changed successfully. You can review the details from your account dashboard.",0
Just a quick update: scheduled maintenance will take place tonight. Some features may be unavailable during the maintenance window. You can review the details from your account dashboard.,0
Your account will be closed within 24 hours unless you verify your information through the provided process. Please complete the request by next Tuesday.,1
Urgent notice: A refund of $500 is waiting for you. Confirm your card information so the payment can be released. Complete the process to avoid interruption.,1
"Hi, your support request has been received and is now in our queue. You can review the details from your account dashboard.",0
"For your records, your card payment of ₹1,00,000 at Coffee Corner was processed successfully. No further action is required if you recognize this activity.",0
"Urgent notice: Congratulations, you have been selected to receive $500. Claim the reward by confirming your details. Failure to act may result in suspension.",1
"Hi, your Microsoft password was changed successfully. You can review the details from your account dashboard.",0
